State,Year,Margin
Nationwide,2020,7
Nationwide,2016,6
Nationwide,2012,7
Nationwide,2008,9
Nationwide,2004,-6
Nationwide,2000,5
Nationwide,1996,9
Nationwide,1992,8
Nationwide,1988,-9
Nationwide,1984,-10
Nationwide,1980,-10
Nationwide,1976,6
Nationwide,1972,-10
Nationwide,1968,-5
Nationwide,1964,10
Nationwide,1960,5
Nationwide,1956,-10
Nationwide,1952,-10
Nationwide,1948,7
Nationwide,1944,9
Nationwide,1940,10
Nationwide,1936,10
Nationwide,1932,10
Nationwide,1928,-10
Nationwide,1924,-10
Nationwide,1920,-10
Nationwide,1916,7
Nationwide,1912,10
Nationwide,1908,-9
Nationwide,1904,-10
Nationwide,1900,-8
Nationwide,1896,-7
Nationwide,1892,7
Nationwide,1888,5
Nationwide,1884,5
Nationwide,1880,-5
Nationwide,1876,7
Nationwide,1872,-10
Nationwide,1868,-8
Nationwide,1864,-10
Nationwide,1860,-10
Nationwide,1856,10
Nationwide,1852,8
Nationwide,1848,-7
Nationwide,1844,6
Nationwide,1840,-8
Nationwide,1836,10
Nationwide,1832,10
Nationwide,1828,10
Alabama,2020,-10
Alabama,2016,-10
Alabama,2012,-10
Alabama,2008,-10
Alabama,2004,-10
Alabama,2000,-10
Alabama,1996,-8
Alabama,1992,-8
Alabama,1988,-10
Alabama,1984,-10
Alabama,1980,-6
Alabama,1976,10
Alabama,1972,-10
Alabama,1968,0
Alabama,1964,-10
Alabama,1960,10
Alabama,1956,10
Alabama,1952,10
Alabama,1948,0
Alabama,1944,10
Alabama,1940,10
Alabama,1936,10
Alabama,1932,10
Alabama,1928,6
Alabama,1924,10
Alabama,1920,10
Alabama,1916,10
Alabama,1912,10
Alabama,1908,10
Alabama,1904,10
Alabama,1900,10
Alabama,1896,10
Alabama,1892,10
Alabama,1888,10
Alabama,1884,10
Alabama,1880,10
Alabama,1876,10
Alabama,1872,-8
Alabama,1868,-6
Alabama,1860,0
Alabama,1856,10
Alabama,1852,10
Alabama,1848,6
Alabama,1844,10
Alabama,1840,9
Alabama,1836,10
Alabama,1832,10
Alabama,1828,10
Alaska,2020,-10
Alaska,2016,-10
Alaska,2012,-10
Alaska,2008,-10
Alaska,2004,-10
Alaska,2000,-10
Alaska,1996,-10
Alaska,1992,-10
Alaska,1988,-10
Alaska,1984,-10
Alaska,1980,-10
Alaska,1976,-10
Alaska,1972,-10
Alaska,1968,-6
Alaska,1964,10
Alaska,1960,-6
Arizona,2020,5
Arizona,2016,-7
Arizona,2012,-10
Arizona,2008,-9
Arizona,2004,-10
Arizona,2000,-8
Arizona,1996,6
Arizona,1992,-6
Arizona,1988,-10
Arizona,1984,-10
Arizona,1980,-10
Arizona,1976,-10
Arizona,1972,-10
Arizona,1968,-10
Arizona,1964,-5
Arizona,1960,-10
Arizona,1956,-10
Arizona,1952,-10
Arizona,1948,10
Arizona,1944,10
Arizona,1940,10
Arizona,1936,10
Arizona,1932,10
Arizona,1928,-10
Arizona,1924,-8
Arizona,1920,-10
Arizona,1916,10
Arizona,1912,10
Arkansas,2020,-10
Arkansas,2016,-10
Arkansas,2012,-10
Arkansas,2008,-10
Arkansas,2004,-10
Arkansas,2000,-8
Arkansas,1996,10
Arkansas,1992,10
Arkansas,1988,-10
Arkansas,1984,-10
Arkansas,1980,-5
Arkansas,1976,10
Arkansas,1972,-10
Arkansas,1968,0
Arkansas,1964,10
Arkansas,1960,9
Arkansas,1956,8
Arkansas,1952,10
Arkansas,1948,10
Arkansas,1944,10
Arkansas,1940,10
Arkansas,1936,10
Arkansas,1932,10
Arkansas,1928,10
Arkansas,1924,10
Arkansas,1920,10
Arkansas,1916,10
Arkansas,1912,10
Arkansas,1908,10
Arkansas,1904,10
Arkansas,1900,10
Arkansas,1896,10
Arkansas,1892,10
Arkansas,1888,10
Arkansas,1884,10
Arkansas,1880,10
Arkansas,1876,10
Arkansas,1872,-7
Arkansas,1868,-9
Arkansas,1860,0
Arkansas,1856,10
Arkansas,1852,10
Arkansas,1848,10
Arkansas,1844,10
Arkansas,1840,10
Arkansas,1836,10
California,2020,10
California,2016,10
California,2012,10
California,2008,10
California,2004,10
California,2000,10
California,1996,10
California,1992,10
California,1988,-7
California,1984,-10
California,1980,-10
California,1976,-6
California,1972,-10
California,1968,-7
California,1964,10
California,1960,-5
California,1956,-10
California,1952,-10
California,1948,5
California,1944,10
California,1940,10
California,1936,10
California,1932,10
California,1928,-10
California,1924,-10
California,1920,-10
California,1916,5
California,1912,0
California,1908,-10
California,1904,-10
California,1900,-10
California,1896,-5
California,1892,5
California,1888,-6
California,1884,-8
California,1880,5
California,1876,-6
California,1872,-10
California,1868,-5
California,1864,-10
California,1860,-5
California,1856,10
California,1852,8
Colorado,2020,10
Colorado,2016,7
Colorado,2012,8
Colorado,2008,9
Colorado,2004,-7
Colorado,2000,-9
Colorado,1996,-6
Colorado,1992,7
Colorado,1988,-9
Colorado,1984,-10
Colorado,1980,-10
Colorado,1976,-10
Colorado,1972,-10
Colorado,1968,-10
Colorado,1964,10
Colorado,1960,-10
Colorado,1956,-10
Colorado,1952,-10
Colorado,1948,8
Colorado,1944,-8
Colorado,1940,-6
Colorado,1936,10
Colorado,1932,10
Colorado,1928,-10
Colorado,1924,-10
Colorado,1920,-10
Colorado,1916,10
Colorado,1912,10
Colorado,1908,6
Colorado,1904,-10
Colorado,1900,10
Colorado,1896,10
Colorado,1892,0
Colorado,1888,-10
Colorado,1884,-10
Colorado,1880,-8
Connecticut,2020,10
Connecticut,2016,10
Connecticut,2012,10
Connecticut,2008,10
Connecticut,2004,10
Connecticut,2000,10
Connecticut,1996,10
Connecticut,1992,8
Connecticut,1988,-8
Connecticut,1984,-10
Connecticut,1980,-10
Connecticut,1976,-8
Connecticut,1972,-10
Connecticut,1968,8
Connecticut,1964,10
Connecticut,1960,9
Connecticut,1956,-10
Connecticut,1952,-10
Connecticut,1948,-6
Connecticut,1944,8
Connecticut,1940,9
Connecticut,1936,10
Connecticut,1932,-6
Connecticut,1928,-9
Connecticut,1924,-10
Connecticut,1920,-10
Connecticut,1916,-7
Connecticut,1912,7
Connecticut,1908,-10
Connecticut,1904,-10
Connecticut,1900,-10
Connecticut,1896,-10
Connecticut,1892,7
Connecticut,1888,5
Connecticut,1884,5
Connecticut,1880,-6
Connecticut,1876,6
Connecticut,1872,-7
Connecticut,1868,-6
Connecticut,1864,-6
Connecticut,1860,-10
Connecticut,1856,-10
Connecticut,1852,7
Connecticut,1848,-8
Connecticut,1844,-7
Connecticut,1840,-10
Connecticut,1836,6
Connecticut,1832,-10
Connecticut,1828,-10
Delaware,2020,10
Delaware,2016,10
Delaware,2012,10
Delaware,2008,10
Delaware,2004,9
Delaware,2000,10
Delaware,1996,10
Delaware,1992,9
Delaware,1988,-10
Delaware,1984,-10
Delaware,1980,-6
Delaware,1976,8
Delaware,1972,-10
Delaware,1968,-7
Delaware,1964,10
Delaware,1960,6
Delaware,1956,-10
Delaware,1952,-7
Delaware,1948,-6
Delaware,1944,10
Delaware,1940,10
Delaware,1936,10
Delaware,1932,-6
Delaware,1928,-10
Delaware,1924,-10
Delaware,1920,-10
Delaware,1916,-6
Delaware,1912,10
Delaware,1908,-8
Delaware,1904,-10
Delaware,1900,-9
Delaware,1896,-10
Delaware,1892,6
Delaware,1888,10
Delaware,1884,10
Delaware,1880,7
Delaware,1876,10
Delaware,1872,-7
Delaware,1868,10
Delaware,1864,7
Delaware,1860,0
Delaware,1856,10
Delaware,1852,5
Delaware,1848,-7
Delaware,1844,-6
Delaware,1840,-10
Delaware,1836,-8
Delaware,1832,-6
Florida,2020,-7
Florida,2016,-6
Florida,2012,5
Florida,2008,6
Florida,2004,-8
Florida,2000,-5
Florida,1996,8
Florida,1992,-6
Florida,1988,-10
Florida,1984,-10
Florida,1980,-10
Florida,1976,8
Florida,1972,-10
Florida,1968,-10
Florida,1964,6
Florida,1960,-7
Florida,1956,-10
Florida,1952,-10
Florida,1948,10
Florida,1944,10
Florida,1940,10
Florida,1936,10
Florida,1932,10
Florida,1928,-10
Florida,1924,10
Florida,1920,10
Florida,1916,10
Florida,1912,10
Florida,1908,10
Florida,1904,10
Florida,1900,10
Florida,1896,10
Florida,1892,10
Florida,1888,10
Florida,1884,8
Florida,1880,9
Florida,1876,-6
Florida,1872,-9
Florida,1860,0
Florida,1856,10
Florida,1852,10
Florida,1848,-10
Georgia,2020,5
Georgia,2016,-8
Georgia,2012,-9
Georgia,2008,-8
Georgia,2004,-10
Georgia,2000,-10
Georgia,1996,-6
Georgia,1992,5
Georgia,1988,-10
Georgia,1984,-10
Georgia,1980,10
Georgia,1976,10
Georgia,1972,-10
Georgia,1968,0
Georgia,1964,-9
Georgia,1960,10
Georgia,1956,10
Georgia,1952,10
Georgia,1948,10
Georgia,1944,10
Georgia,1940,10
Georgia,1936,10
Georgia,1932,10
Georgia,1928,10
Georgia,1924,10
Georgia,1920,10
Georgia,1916,10
Georgia,1912,10
Georgia,1908,10
Georgia,1904,10
Georgia,1900,10
Georgia,1896,10
Georgia,1892,10
Georgia,1888,10
Georgia,1884,10
Georgia,1880,10
Georgia,1876,10
Georgia,1872,10
Georgia,1868,10
Georgia,1860,0
Georgia,1856,10
Georgia,1852,10
Georgia,1848,-6
Georgia,1844,6
Georgia,1840,-10
Georgia,1836,-7
Georgia,1832,10
Georgia,1828,10
Hawaii,2020,10
Hawaii,2016,10
Hawaii,2012,10
Hawaii,2008,10
Hawaii,2004,9
Hawaii,2000,10
Hawaii,1996,10
Hawaii,1992,10
Hawaii,1988,10
Hawaii,1984,-10
Hawaii,1980,6
Hawaii,1976,6
Hawaii,1972,-10
Hawaii,1968,10
Hawaii,1964,10
Hawaii,1960,5
Idaho,2020,-10
Idaho,2016,-10
Idaho,2012,-10
Idaho,2008,-10
Idaho,2004,-10
Idaho,2000,-10
Idaho,1996,-10
Idaho,1992,-10
Idaho,1988,-10
Idaho,1984,-10
Idaho,1980,-10
Idaho,1976,-10
Idaho,1972,-10
Idaho,1968,-10
Idaho,1964,6
Idaho,1960,-9
Idaho,1956,-10
Idaho,1952,-10
Idaho,1948,6
Idaho,1944,7
Idaho,1940,10
Idaho,1936,10
Idaho,1932,10
Idaho,1928,-10
Idaho,1924,-10
Idaho,1920,-10
Idaho,1916,10
Idaho,1912,6
Idaho,1908,-10
Idaho,1904,-10
Idaho,1900,7
Idaho,1896,10
Idaho,1892,0
Illinois,2020,10
Illinois,2016,10
Illinois,2012,10
Illinois,2008,10
Illinois,2004,10
Illinois,2000,10
Illinois,1996,10
Illinois,1992,10
Illinois,1988,-6
Illinois,1984,-10
Illinois,1980,-9
Illinois,1976,-6
Illinois,1972,-10
Illinois,1968,-6
Illinois,1964,10
Illinois,1960,5
Illinois,1956,-10
Illinois,1952,-10
Illinois,1948,5
Illinois,1944,7
Illinois,1940,6
Illinois,1936,10
Illinois,1932,10
Illinois,1928,-10
Illinois,1924,-10
Illinois,1920,-10
Illinois,1916,-10
Illinois,1912,10
Illinois,1908,-10
Illinois,1904,-10
Illinois,1900,-9
Illinois,1896,-10
Illinois,1892,7
Illinois,1888,-6
Illinois,1884,-7
Illinois,1880,-8
Illinois,1876,-7
Illinois,1872,-10
Illinois,1868,-10
Illinois,1864,-9
Illinois,1860,-7
Illinois,1856,7
Illinois,1852,10
Illinois,1848,6
Illinois,1844,10
Illinois,1840,6
Illinois,1836,10
Illinois,1832,10
Illinois,1828,10
Indiana,2020,-10
Indiana,2016,-10
Indiana,2012,-10
Indiana,2008,6
Indiana,2004,-10
Indiana,2000,-10
Indiana,1996,-8
Indiana,1992,-8
Indiana,1988,-10
Indiana,1984,-10
Indiana,1980,-10
Indiana,1976,-9
Indiana,1972,-10
Indiana,1968,-10
Indiana,1964,10
Indiana,1960,-10
Indiana,1956,-10
Indiana,1952,-10
Indiana,1948,-5
Indiana,1944,-8
Indiana,1940,-6
Indiana,1936,10
Indiana,1932,10
Indiana,1928,-10
Indiana,1924,-10
Indiana,1920,-10
Indiana,1916,-5
Indiana,1912,10
Indiana,1908,-6
Indiana,1904,-10
Indiana,1900,-7
Indiana,1896,-6
Indiana,1892,6
Indiana,1888,-5
Indiana,1884,6
Indiana,1880,-6
Indiana,1876,6
Indiana,1872,-8
Indiana,1868,-6
Indiana,1864,-9
Indiana,1860,-9
Indiana,1856,10
Indiana,1852,9
Indiana,1848,7
Indiana,1844,6
Indiana,1840,-10
Indiana,1836,-10
Indiana,1832,10
Indiana,1828,10
Iowa,2020,-9
Iowa,2016,-10
Iowa,2012,8
Iowa,2008,10
Iowa,2004,-5
Iowa,2000,5
Iowa,1996,10
Iowa,1992,8
Iowa,1988,10
Iowa,1984,-9
Iowa,1980,-10
Iowa,1976,-6
Iowa,1972,-10
Iowa,1968,-10
Iowa,1964,10
Iowa,1960,-10
Iowa,1956,-10
Iowa,1952,-10
Iowa,1948,6
Iowa,1944,-7
Iowa,1940,-7
Iowa,1936,10
Iowa,1932,10
Iowa,1928,-10
Iowa,1924,-10
Iowa,1920,-10
Iowa,1916,-10
Iowa,1912,10
Iowa,1908,-10
Iowa,1904,-10
Iowa,1900,-10
Iowa,1896,-10
Iowa,1892,-8
Iowa,1888,-9
Iowa,1884,-8
Iowa,1880,-10
Iowa,1876,-10
Iowa,1872,-10
Iowa,1868,-10
Iowa,1864,-10
Iowa,1860,-10
Iowa,1856,-9
Iowa,1852,8
Iowa,1848,8
Kansas,2020,-10
Kansas,2016,-10
Kansas,2012,-10
Kansas,2008,-10
Kansas,2004,-10
Kansas,2000,-10
Kansas,1996,-10
Kansas,1992,-8
Kansas,1988,-10
Kansas,1984,-10
Kansas,1980,-10
Kansas,1976,-9
Kansas,1972,-10
Kansas,1968,-10
Kansas,1964,10
Kansas,1960,-10
Kansas,1956,-10
Kansas,1952,-10
Kansas,1948,-10
Kansas,1944,-10
Kansas,1940,-10
Kansas,1936,9
Kansas,1932,10
Kansas,1928,-10
Kansas,1924,-10
Kansas,1920,-10
Kansas,1916,8
Kansas,1912,10
Kansas,1908,-10
Kansas,1904,-10
Kansas,1900,-8
Kansas,1896,7
Kansas,1892,0
Kansas,1888,-10
Kansas,1884,-10
Kansas,1880,-10
Kansas,1876,-10
Kansas,1872,-10
Kansas,1868,-10
Kansas,1864,-10
Kentucky,2020,-10
Kentucky,2016,-10
Kentucky,2012,-10
Kentucky,2008,-10
Kentucky,2004,-10
Kentucky,2000,-10
Kentucky,1996,5
Kentucky,1992,7
Kentucky,1988,-10
Kentucky,1984,-10
Kentucky,1980,-6
Kentucky,1976,9
Kentucky,1972,-10
Kentucky,1968,-8
Kentucky,1964,10
Kentucky,1960,-9
Kentucky,1956,-10
Kentucky,1952,5
Kentucky,1948,10
Kentucky,1944,10
Kentucky,1940,10
Kentucky,1936,10
Kentucky,1932,10
Kentucky,1928,-10
Kentucky,1924,-6
Kentucky,1920,5
Kentucky,1916,8
Kentucky,1912,10
Kentucky,1908,6
Kentucky,1904,6
Kentucky,1900,6
Kentucky,1896,-5
Kentucky,1892,10
Kentucky,1888,9
Kentucky,1884,10
Kentucky,1880,10
Kentucky,1876,10
Kentucky,1872,8
Kentucky,1868,10
Kentucky,1864,10
Kentucky,1860,0
Kentucky,1856,10
Kentucky,1852,-7
Kentucky,1848,-10
Kentucky,1844,-9
Kentucky,1840,-10
Kentucky,1836,-8
Kentucky,1832,-9
Kentucky,1828,10
Louisiana,2020,-10
Louisiana,2016,-10
Louisiana,2012,-10
Louisiana,2008,-10
Louisiana,2004,-10
Louisiana,2000,-9
Louisiana,1996,10
Louisiana,1992,7
Louisiana,1988,-10
Louisiana,1984,-10
Louisiana,1980,-8
Louisiana,1976,8
Louisiana,1972,-10
Louisiana,1968,0
Louisiana,1964,-10
Louisiana,1960,10
Louisiana,1956,-10
Louisiana,1952,8
Louisiana,1948,0
Louisiana,1944,10
Louisiana,1940,10
Louisiana,1936,10
Louisiana,1932,10
Louisiana,1928,10
Louisiana,1924,10
Louisiana,1920,10
Louisiana,1916,10
Louisiana,1912,10
Louisiana,1908,10
Louisiana,1904,10
Louisiana,1900,10
Louisiana,1896,10
Louisiana,1892,10
Louisiana,1888,10
Louisiana,1884,10
Louisiana,1880,10
Louisiana,1876,-7
Louisiana,1872,-10
Louisiana,1868,10
Louisiana,1860,0
Louisiana,1856,10
Louisiana,1852,7
Louisiana,1848,-10
Louisiana,1844,6
Louisiana,1840,-10
Louisiana,1836,7
Louisiana,1832,10
Louisiana,1828,8
Maine,2020,10
Maine,2016,6
Maine,2012,10
Maine,2008,10
Maine,2004,9
Maine,2000,8
Maine,1996,10
Maine,1992,9
Maine,1988,-10
Maine,1984,-10
Maine,1980,-7
Maine,1976,-5
Maine,1972,-10
Maine,1968,10
Maine,1964,10
Maine,1960,-10
Maine,1956,-10
Maine,1952,-10
Maine,1948,-10
Maine,1944,-7
Maine,1940,-6
Maine,1936,-10
Maine,1932,-10
Maine,1928,-10
Maine,1924,-10
Maine,1920,-10
Maine,1916,-7
Maine,1912,10
Maine,1908,-10
Maine,1904,-10
Maine,1900,-10
Maine,1896,-10
Maine,1892,-10
Maine,1888,-10
Maine,1884,-10
Maine,1880,-8
Maine,1876,-10
Maine,1872,-10
Maine,1868,-10
Maine,1864,-10
Maine,1860,-10
Maine,1856,-10
Maine,1852,10
Maine,1848,8
Maine,1844,10
Maine,1840,-5
Maine,1836,10
Maine,1832,10
Maine,1828,-10
Maryland,2020,10
Maryland,2016,10
Maryland,2012,10
Maryland,2008,10
Maryland,2004,10
Maryland,2000,10
Maryland,1996,10
Maryland,1992,10
Maryland,1988,-6
Maryland,1984,-8
Maryland,1980,6
Maryland,1976,8
Maryland,1972,-10
Maryland,1968,6
Maryland,1964,10
Maryland,1960,9
Maryland,1956,-10
Maryland,1952,-10
Maryland,1948,-6
Maryland,1944,7
Maryland,1940,10
Maryland,1936,10
Maryland,1932,10
Maryland,1928,-10
Maryland,1924,-7
Maryland,1920,-10
Maryland,1916,9
Maryland,1912,10
Maryland,1908,-5
Maryland,1904,-5
Maryland,1900,-8
Maryland,1896,-10
Maryland,1892,10
Maryland,1888,6
Maryland,1884,8
Maryland,1880,9
Maryland,1876,10
Maryland,1872,5
Maryland,1868,10
Maryland,1864,-10
Maryland,1860,0
Maryland,1856,0
Maryland,1852,8
Maryland,1848,-7
Maryland,1844,-7
Maryland,1840,-9
Maryland,1836,-9
Maryland,1832,-5
Maryland,1828,-5
Massachusetts,2020,10
Massachusetts,2016,10
Massachusetts,2012,10
Massachusetts,2008,10
Massachusetts,2004,10
Massachusetts,2000,10
Massachusetts,1996,10
Massachusetts,1992,10
Massachusetts,1988,9
Massachusetts,1984,-6
Massachusetts,1980,-5
Massachusetts,1976,10
Massachusetts,1972,9
Massachusetts,1968,10
Massachusetts,1964,10
Massachusetts,1960,10
Massachusetts,1956,-10
Massachusetts,1952,-9
Massachusetts,1948,10
Massachusetts,1944,8
Massachusetts,1940,8
Massachusetts,1936,10
Massachusetts,1932,7
Massachusetts,1928,6
Massachusetts,1924,-10
Massachusetts,1920,-10
Massachusetts,1916,-7
Massachusetts,1912,7
Massachusetts,1908,-10
Massachusetts,1904,-10
Massachusetts,1900,-10
Massachusetts,1896,-10
Massachusetts,1892,-8
Massachusetts,1888,-10
Massachusetts,1884,-9
Massachusetts,1880,-10
Massachusetts,1876,-10
Massachusetts,1872,-10
Massachusetts,1868,-10
Massachusetts,1864,-10
Massachusetts,1860,-10
Massachusetts,1856,-10
Massachusetts,1852,-8
Massachusetts,1848,-10
Massachusetts,1844,-10
Massachusetts,1840,-10
Massachusetts,1836,-10
Massachusetts,1832,-10
Massachusetts,1828,-10
Michigan,2020,6
Michigan,2016,-5
Michigan,2012,10
Michigan,2008,10
Michigan,2004,7
Michigan,2000,8
Michigan,1996,10
Michigan,1992,9
Michigan,1988,-9
Michigan,1984,-10
Michigan,1980,-8
Michigan,1976,-8
Michigan,1972,-10
Michigan,1968,8
Michigan,1964,10
Michigan,1960,6
Michigan,1956,-10
Michigan,1952,-10
Michigan,1948,-6
Michigan,1944,6
Michigan,1940,-5
Michigan,1936,10
Michigan,1932,9
Michigan,1928,-10
Michigan,1924,-10
Michigan,1920,-10
Michigan,1916,-9
Michigan,1912,0
Michigan,1908,-10
Michigan,1904,-10
Michigan,1900,-10
Michigan,1896,-10
Michigan,1892,-7
Michigan,1888,-7
Michigan,1884,-5
Michigan,1880,-10
Michigan,1876,-9
Michigan,1872,-10
Michigan,1868,-10
Michigan,1864,-9
Michigan,1860,-10
Michigan,1856,-10
Michigan,1852,10
Michigan,1848,10
Michigan,1844,8
Michigan,1840,-7
Michigan,1836,10
Minnesota,2020,9
Minnesota,2016,6
Minnesota,2012,9
Minnesota,2008,10
Minnesota,2004,7
Minnesota,2000,6
Minnesota,1996,10
Minnesota,1992,10
Minnesota,1988,9
Minnesota,1984,5
Minnesota,1980,7
Minnesota,1976,10
Minnesota,1972,-8
Minnesota,1968,10
Minnesota,1964,10
Minnesota,1960,6
Minnesota,1956,-9
Minnesota,1952,-10
Minnesota,1948,10
Minnesota,1944,8
Minnesota,1940,7
Minnesota,1936,10
Minnesota,1932,10
Minnesota,1928,-10
Minnesota,1924,-10
Minnesota,1920,-10
Minnesota,1916,-5
Minnesota,1912,0
Minnesota,1908,-10
Minnesota,1904,-10
Minnesota,1900,-10
Minnesota,1896,-10
Minnesota,1892,-9
Minnesota,1888,-10
Minnesota,1884,-10
Minnesota,1880,-10
Minnesota,1876,-10
Minnesota,1872,-10
Minnesota,1868,-10
Minnesota,1864,-10
Minnesota,1860,-10
Mississippi,2020,-10
Mississippi,2016,-10
Mississippi,2012,-10
Mississippi,2008,-10
Mississippi,2004,-10
Mississippi,2000,-10
Mississippi,1996,-8
Mississippi,1992,-9
Mississippi,1988,-10
Mississippi,1984,-10
Mississippi,1980,-6
Mississippi,1976,6
Mississippi,1972,-10
Mississippi,1968,0
Mississippi,1964,-10
Mississippi,1960,0
Mississippi,1956,10
Mississippi,1952,10
Mississippi,1948,0
Mississippi,1944,10
Mississippi,1940,10
Mississippi,1936,10
Mississippi,1932,10
Mississippi,1928,10
Mississippi,1924,10
Mississippi,1920,10
Mississippi,1916,10
Mississippi,1912,10
Mississippi,1908,10
Mississippi,1904,10
Mississippi,1900,10
Mississippi,1896,10
Mississippi,1892,10
Mississippi,1888,10
Mississippi,1884,10
Mississippi,1880,10
Mississippi,1876,10
Mississippi,1872,-10
Mississippi,1860,0
Mississippi,1856,10
Mississippi,1852,10
Mississippi,1848,6
Mississippi,1844,10
Mississippi,1840,-8
Mississippi,1836,6
Mississippi,1832,10
Mississippi,1828,10
Missouri,2020,-10
Missouri,2016,-10
Missouri,2012,-10
Missouri,2008,-5
Missouri,2004,-9
Missouri,2000,-7
Missouri,1996,8
Missouri,1992,10
Missouri,1988,-7
Missouri,1984,-10
Missouri,1980,-8
Missouri,1976,7
Missouri,1972,-10
Missouri,1968,-6
Missouri,1964,10
Missouri,1960,5
Missouri,1956,5
Missouri,1952,-6
Missouri,1948,10
Missouri,1944,6
Missouri,1940,7
Missouri,1936,10
Missouri,1932,10
Missouri,1928,-10
Missouri,1924,-8
Missouri,1920,-10
Missouri,1916,7
Missouri,1912,10
Missouri,1908,-5
Missouri,1904,-7
Missouri,1900,8
Missouri,1896,9
Missouri,1892,9
Missouri,1888,7
Missouri,1884,9
Missouri,1880,10
Missouri,1876,10
Missouri,1872,10
Missouri,1868,-10
Missouri,1864,-10
Missouri,1860,10
Missouri,1856,10
Missouri,1852,10
Missouri,1848,10
Missouri,1844,10
Missouri,1840,10
Missouri,1836,10
Missouri,1832,10
